condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
uniform,0.25,108,iei_400,5.0,1.1036789297658862,2.109984975052979,0.8430701650044293,2738,0.9970781592403214,4.9408327246165085,57,1.1586640712519074,0.22973897117391784,-420.78397106936933,-17.997233201438643,0.12858719272927369,2730
uniform,0.25,109,iei_float,4.431650293199299,0.9586688137412775,2.3148524622036444,0.8699636350654549,3238,0.9981470043236566,4.163063619518221,44,1.2883718096316752,0.27869974437850886,-503.35764966015944,-19.444516879092117,0.13311562335477692,3232
uniform,0.25,109,iei_100,4.0,0.9137478108581436,2.5740496038320875,0.8738340616908685,3667,0.9994545950368149,3.676029451868012,54,1.3766742827220444,0.31962454253985495,-590.5366889976835,-21.714225446185953,0.13693863964297315,3665
uniform,0.25,109,iei_400,5.0,1.1273333333333333,2.203601212005376,0.835059523997206,2750,0.9963636363636363,4.901818181818181,54,1.1620720408068994,0.23385817393580788,-455.5792967167224,-20.527143702589438,0.12983921221003603,2740
uniform,0.25,110,iei_float,4.505206324720401,0.9312896405919662,2.298480596192071,0.8383133843827781,3282,0.9990859232175503,4.059110298598416,55,1.302034848519325,0.2855193392114238,-523.0592433688403,-20.397980921115906,0.13051319246483933,3279
uniform,0.25,110,iei_100,4.0,0.8627956989247312,2.5874897209091587,0.8743605420925995,3775,0.9994701986754967,3.5290066225165564,42,1.4066874832652356,0.3351638657569057,-618.1069099536533,-22.076683630378646,0.13768167649898788,3773
uniform,0.25,110,iei_400,5.0,1.0695538057742782,2.1314002191143615,0.8676285893808855,2825,0.9978761061946902,4.715752212389381,62,1.1930902351548323,0.2419469053699887,-437.8129009044574,-18.110073188492105,0.12677424439308665,2819
uniform,0.25,111,iei_float,4.419107020613068,0.9961935834692768,2.317847379518361,0.856739416141798,3239,0.9984563136770608,4.166409385612844,46,1.2778317554304106,0.2779204503744449,-544.2725824615757,-21.418464391531963,0.13897573716921455,3234
uniform,0.25,111,iei_100,4.0,0.9071013845466727,2.4060855036853046,0.8660303979573106,3668,0.9989094874591058,3.6791166848418757,46,1.3748909112165837,0.32099854778387327,-615.4598278442116,-22.314917093102807,0.14544042683789443,3664
uniform,0.25,111,iei_400,5.0,1.1218130311614731,2.2136364104275548,0.8092894141302327,2708,0.9955686853766618,4.983382570162481,77,1.150324523777778,0.2312646429183151,-463.5923670747496,-21.930257541044007,0.13420307536811635,2696
