condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
refractory_1.0,0.25,106,1.892024139618333,,14502,900000,58008.0,0.209375,112.0,1.0,0.8455385464073921,0.9953109915873672,0.0,2240.0,112.0,0.209375,0.0
refractory_1.0,0.25,107,1.8552470894732558,,14483,900000,57932.0,0.205,128.0,1.0,0.8481866354689973,1.0005505471061868,0.0,2206.0,128.0,0.20489573889392565,48.0
refractory_1.0,0.25,108,1.8859364873622813,,14505,900000,58020.0,0.22397038408144376,100.0,1.0,0.8510168907273354,0.9948293691830403,0.0,2161.0,100.0,0.22397038408144376,0.0
refractory_1.0,0.25,109,1.8098318240620956,,14482,900000,57928.0,0.21570482497634816,124.0,1.0,0.8538620689655172,1.0073103448275862,0.0,2119.0,124.0,0.21566776781500707,18.0
refractory_1.0,0.25,110,1.8823338472774487,,14502,900000,58008.0,0.21936668196420375,116.0,1.0,0.8497448627775479,0.9957936836298441,0.0,2179.0,116.0,0.21936668196420375,0.0
refractory_1.0,0.25,111,1.9103843008994277,,14440,900000,57760.0,0.2072398190045249,128.0,1.0,0.8471293679784961,0.9967606313322765,0.0,2218.0,128.0,0.20784490532010821,69.0
refractory_1.0,0.25,112,1.8851924331376386,,14501,900000,58004.0,0.19445686186857397,144.0,1.0,0.8457347769119371,0.9902075718915937,0.0,2237.0,144.0,0.19445686186857397,0.0
refractory_1.0,0.25,113,1.8547971667739858,,14507,900000,58028.0,0.22899663946231397,124.0,1.0,0.8564141448955677,1.0054456469290687,0.0,2083.0,124.0,0.22899663946231397,0.0
refractory_1.0,0.25,114,1.8753853642706475,,14500,900000,58000.0,0.21573137074517018,128.0,1.0,0.8500689655172414,0.9988275862068966,0.0,2174.0,128.0,0.21573137074517018,0.0
refractory_1.0,0.25,115,1.908131796786236,,14502,900000,58008.0,0.21376146788990827,120.0,1.0,0.8496759067714797,0.9928975313749827,0.0,2180.0,120.0,0.21376146788990827,0.0
refractory_1.0,0.25,116,1.8548478243319608,,14517,900000,58068.0,0.223943661971831,108.0,1.0,0.8532754701384584,1.0015843493834815,0.0,2130.0,108.0,0.223943661971831,0.0
refractory_1.0,0.25,117,1.9143182928815767,,14465,900000,57860.0,0.20941929583904892,128.0,1.0,0.8489655172413794,0.9922758620689656,0.0,2190.0,128.0,0.2095890410958904,35.0
refractory_1.0,0.25,118,1.8422071636011617,,14489,900000,57956.0,0.22312470138557094,136.0,1.0,0.8558049855391819,1.0177661479135105,0.0,2094.0,136.0,0.22349570200573066,33.0
